,unixtime,location,currency,buy_price,buy_quantity,sell_price,sell_quantity
30,1578430331.2,PTXLN,EUR,27900,0.1,28120,0.654
0,1578430336.3,AUXZU,USD,50410,0.056,50570,0.948
1,1578430336.3,AUXZU,GBP,38420,0.934,38540,0.934
2,1578430336.3,AUXZU,EUR,45240,0.847,45250,0.011
3,1578430336.3,AUXZU,JPY,5469000,1.922,5490000,1.902
4,1578430336.3,AUXLN,USD,50410,0.95,50560,0.948
5,1578430336.3,AUXLN,GBP,38420,0.934,38500,0.88
6,1578430336.3,AUXLN,EUR,45240,0.943,45380,1.039
7,1578430336.3,AUXNY,USD,50370,0.95,50590,0.953
8,1578430336.3,AUXNY,GBP,38380,0.948,38570,1.872
9,1578430336.3,AUXNY,EUR,45210,0.953,45410,0.953
10,1578430336.3,AUXTR,USD,50370,0.95,50590,0.953
11,1578430336.3,AUXTR,GBP,38380,0.948,38570,1.872
12,1578430336.3,AUXTR,EUR,45210,0.953,45410,0.953
13,1578430336.3,AUXSG,USD,50410,0.95,50600,0.5
14,1578430336.3,AUXSG,GBP,38420,0.934,38570,0.946
15,1578430336.3,AUXSG,EUR,45240,0.943,45430,1.906
16,1578430336.3,AGXZU,USD,590,7.463,592,4.999
17,1578430336.3,AGXZU,GBP,448,54.201,450,0.543
18,1578430336.3,AGXZU,EUR,525,9.996,528,55.182
19,1578430336.3,AGXLN,USD,590,27.263,591,1.996
20,1578430336.3,AGXLN,GBP,448,54.435,450,3.318
21,1578430336.3,AGXLN,EUR,528,41.732,531,14.965
22,1578430336.3,AGXTR,USD,589,27.225,595,0.623
23,1578430336.3,AGXTR,GBP,448,26.231,456,26.861
24,1578430336.3,AGXTR,EUR,528,26.708,536,6.23
25,1578430336.3,AGXSG,USD,590,7.463,595,0.093
26,1578430336.3,AGXSG,GBP,448,26.231,455,2
27,1578430336.3,AGXSG,EUR,528,26.708,535,3
28,1578430336.3,PTXLN,USD,31080,0.666,31340,0.647
29,1578430336.3,PTXLN,GBP,23680,0.628,23880,0.655
30,1578430336.3,PTXLN,EUR,27900,0.1,28120,0.654
0,1578430341.5,AUXZU,USD,50410,0.056,50570,0.948
1,1578430341.5,AUXZU,GBP,38420,0.934,38540,0.934
2,1578430341.5,AUXZU,EUR,45240,0.847,45250,0.011
3,1578430341.5,AUXZU,JPY,5469000,1.922,5490000,1.902
4,1578430341.5,AUXLN,USD,50410,0.95,50560,0.948
5,1578430341.5,AUXLN,GBP,38420,0.934,38500,0.88
6,1578430341.5,AUXLN,EUR,45240,0.943,45380,1.039
7,1578430341.5,AUXNY,USD,50370,0.95,50590,0.953
8,1578430341.5,AUXNY,GBP,38380,0.948,38570,1.872
9,1578430341.5,AUXNY,EUR,45210,0.953,45410,0.953
10,1578430341.5,AUXTR,USD,50370,0.95,50590,0.953
11,1578430341.5,AUXTR,GBP,38380,0.948,38570,1.872
12,1578430341.5,AUXTR,EUR,45210,0.953,45410,0.953
13,1578430341.5,AUXSG,USD,50410,0.95,50600,0.5
